experiment,augmentation,mode,map50_95,ap_gap_recovery,loss_gap_recovery,rank,hidden,coordinates,calibration_count,calibration_seed,training_seed,predictor_parameters
hidden64-r64-cal50-s0,zoom_in15,mean_only,0.00391352149047153,0.13633331812944696,0.19854646724114097,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,zoom_in15,oracle,0.010292328067606177,0.9523676613881022,0.9385281380952348,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,zoom_in15,predicted,0.003906708052750887,0.13546168185885848,0.06730564111835564,64,64,True,50,0,0,57856
main-r64-h128-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,hflip,mean_only,0.0011089558295817022,-0.0005673017936868481,0.016356630209854336,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,hflip,oracle,0.008490377722806862,0.9912774287367877,0.9950574753363209,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,hflip,predicted,0.008025001776127506,0.9287446691809088,0.9889239556329316,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,zoom_in15,mean_only,0.003913490242589592,0.13632932061917488,0.19854987351390074,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,zoom_in15,oracle,0.010294816331916718,0.9526859825517795,0.9385845408158477,64,128,True,50,0,0,115584
main-r64-h128-cal50-s0,zoom_in15,predicted,0.004249220189537353,0.17927891682606367,0.07169395559574585,64,128,True,50,0,0,115584
main-r64-h128-cal50-s1,hflip,true,0.008555292095496079,1.0,1.0,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,hflip,transport,0.0011131777543962307,0.0,0.0,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,hflip,mean_only,0.0012058543377979278,0.012452991065977179,-0.0022997009553428764,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,hflip,oracle,0.007944439286450295,0.9179194539282626,0.975590030307749,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,hflip,predicted,0.00796210561107138,0.9202932853169474,0.972474168999305,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,zoom_in15,true,0.010664662243651478,1.0,1.0,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,zoom_in15,mean_only,0.0038501234001368932,0.12822286386429854,0.20847343200705254,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,zoom_in15,oracle,0.010502013376507269,0.979192493160467,0.9345409942670728,64,128,True,50,1,1,115584
main-r64-h128-cal50-s1,zoom_in15,predicted,0.004036329936885826,0.1520440798063314,0.0680415327540695,64,128,True,50,1,1,115584
main-r64-h128-cal50-s2,hflip,true,0.008555292095496079,1.0,1.0,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,hflip,transport,0.0011131777543962307,0.0,0.0,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,hflip,mean_only,0.0010790737025568,-0.00458257563325622,0.03133690786262394,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,hflip,oracle,0.008360492077084223,0.9738246404874416,0.9898727744743572,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,hflip,predicted,0.008144048688304732,0.9447410522947474,0.9829069342538207,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,zoom_in15,true,0.010664662243651478,1.0,1.0,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,zoom_in15,mean_only,0.0038771146691202103,0.13167582989990026,0.19813103087159453,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,zoom_in15,oracle,0.009743868248156233,0.8822037454335224,0.927046916850591,64,128,True,50,2,2,115584
main-r64-h128-cal50-s2,zoom_in15,predicted,0.0038646881903049955,0.1300861228980701,0.05249209487393797,64,128,True,50,2,2,115584
no-coordinates-r64-h128-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,hflip,mean_only,0.001109121000368346,-0.0005451077263729859,0.01635601678732362,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,hflip,oracle,0.00848980660720404,0.9912006876956473,0.9950641492393735,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,hflip,predicted,0.00842337372618605,0.9822740738365848,0.9850830221891405,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,zoom_in15,mean_only,0.0039136372945921425,0.136348132834732,0.19854609223863573,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,zoom_in15,oracle,0.010294320899818825,0.9526226024191881,0.9385358881470178,64,128,False,50,0,0,115072
no-coordinates-r64-h128-cal50-s0,zoom_in15,predicted,0.004234112324083876,0.1773461827143944,0.07063815166624349,64,128,False,50,0,0,115072
rank32-h128-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,hflip,mean_only,0.0011091168995332836,-0.0005456587572863006,0.016357280504777406,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,hflip,oracle,0.00789685094313156,0.9115249884393458,0.9598523149390583,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,hflip,predicted,0.007662532478586729,0.880039518879871,0.9493594711489274,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,zoom_in15,mean_only,0.003913602131539687,0.13634363446061282,0.19854419378845048,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,zoom_in15,oracle,0.008378419129050914,0.7075232057920869,0.8719098121161472,32,128,True,50,0,0,107328
rank32-h128-cal50-s0,zoom_in15,predicted,0.004144232439816896,0.16584793904717293,0.12938557153914096,32,128,True,50,0,0,107328
rank64-h128-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,hflip,mean_only,0.0011091141891986394,-0.0005460229460799677,0.016357605652239253,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,hflip,oracle,0.008486899841737512,0.9908101044106695,0.9950387290767422,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,hflip,predicted,0.008029849449887948,0.9293960531207752,0.9889231963968489,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,zoom_in15,mean_only,0.00391327355610195,0.13630160013361106,0.19854470160434382,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,zoom_in15,oracle,0.01031892596709544,0.9557703040579054,0.9383880668468291,64,128,True,50,0,0,115584
rank64-h128-cal50-s0,zoom_in15,predicted,0.0042490561663590795,0.17925793350497635,0.07167247107719402,64,128,True,50,0,0,115584
rank96-h128-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,hflip,mean_only,0.0011089628267356147,-0.0005663615832047484,0.01635590952218154,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,hflip,oracle,0.007960618382098262,0.9200934457411291,1.0032028617186786,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,hflip,predicted,0.007653478932417251,0.8788229901147216,1.0055744386992358,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,zoom_in15,mean_only,0.003913626066367062,0.13634669641913155,0.19854614302022464,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,zoom_in15,oracle,0.010889812060699557,1.028803190826985,0.9574572567603034,96,128,True,50,0,0,123840
rank96-h128-cal50-s0,zoom_in15,predicted,0.0035662883335855753,0.09191212778441188,0.05660454032057091,96,128,True,50,0,0,123840
smoke,hflip,true,0.008564766462398583,1.0,1.0,64,128,True,10,0,0,115584
smoke,hflip,transport,0.0005755909306594079,0.0,0.0,64,128,True,10,0,0,115584
smoke,hflip,mean_only,0.0006888536752156024,0.014177025414728645,-0.0096413766220503,64,128,True,10,0,0,115584
smoke,hflip,oracle,0.007110571654493948,0.8179793644378635,1.0007763467378823,64,128,True,10,0,0,115584
smoke,hflip,predicted,0.0012714606261092607,0.08710156544756352,0.5008962170986654,64,128,True,10,0,0,115584
smoke,zoom_in15,true,0.009892056753707176,1.0,1.0,64,128,True,10,0,0,115584
smoke,zoom_in15,transport,0.0027757470411852074,0.0,0.0,64,128,True,10,0,0,115584
smoke,zoom_in15,mean_only,0.003087205786550439,0.04376689013649643,0.241812587341006,64,128,True,10,0,0,115584
smoke,zoom_in15,oracle,0.011633636641013417,1.2447307604166986,0.8714908942828914,64,128,True,10,0,0,115584
smoke,zoom_in15,predicted,0.0023037818658910884,-0.0663216181363835,0.07996113603389499,64,128,True,10,0,0,115584
