experiment,augmentation,mode,map50_95,ap_gap_recovery,loss_gap_recovery,rank,hidden,coordinates,calibration_count,calibration_seed,training_seed,predictor_parameters
hidden0-r64-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,hflip,mean_only,0.001109126328623787,-0.0005443917664727728,0.016356603393568814,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,hflip,oracle,0.008487479605461666,0.990888007503471,0.9950499030877045,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,hflip,predicted,0.007518775716113222,0.8607228629022015,0.9887889406635201,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,zoom_in15,mean_only,0.0039133885485905,0.13631631100761835,0.19854486566794,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,zoom_in15,oracle,0.010292194468804113,0.952350570227023,0.9385820290803154,64,0,True,50,0,0,49536
hidden0-r64-cal50-s0,zoom_in15,predicted,0.003890415638383529,0.133377409589807,0.08535551953365687,64,0,True,50,0,0,49536
hidden128-r64-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,hflip,mean_only,0.0011091188252304273,-0.0005454000005600038,0.01635735760159835,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,hflip,oracle,0.008485708983093245,0.9906500882392315,0.9950374167547711,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,hflip,predicted,0.008063804185344326,0.9339585650495236,0.9880537068319879,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,zoom_in15,mean_only,0.003913402591347299,0.13631810748344558,0.19854595161269561,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,zoom_in15,oracle,0.010290637735961717,0.9521514189520451,0.9385495835510258,64,128,True,50,0,0,115584
hidden128-r64-cal50-s0,zoom_in15,predicted,0.00455571011375764,0.21848786618079452,0.06811799029618078,64,128,True,50,0,0,115584
hidden256-r64-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,hflip,mean_only,0.0011089595984404496,-0.0005667953705690755,0.0163574849789541,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,hflip,oracle,0.008487072198162842,0.9908332640152429,0.9950388614821516,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,hflip,predicted,0.007777054234489383,0.8954278548625897,0.9882800982942229,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,zoom_in15,mean_only,0.003913422095523058,0.136320602633136,0.19854558051646637,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,zoom_in15,oracle,0.010293044644862913,0.952459332399603,0.938579724377416,64,256,True,50,0,0,231040
hidden256-r64-cal50-s0,zoom_in15,predicted,0.004093289605507373,0.15933087322352488,0.08326905246763364,64,256,True,50,0,0,231040
hidden64-r64-cal50-s0,hflip,true,0.008555292095496079,1.0,1.0,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,hflip,transport,0.0011131777543962307,0.0,0.0,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,hflip,mean_only,0.0011091237860890505,-0.0005447334079230428,0.016357032454136503,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,hflip,oracle,0.008491832000528556,0.9914728406392445,0.995046705245659,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,hflip,predicted,0.0078000242944305945,0.8985143513726417,0.9969196468055865,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,zoom_in15,true,0.010664662243651478,1.0,1.0,64,64,True,50,0,0,57856
hidden64-r64-cal50-s0,zoom_in15,transport,0.0028478263104206843,0.0,0.0,64,64,True,50,0,0,57856
