calibration_count,augmentation,mode,mean_ap_recovery,std_ap_recovery,min_ap_recovery,max_ap_recovery
5,hflip,task_r16,0.6724015547025514,0.014845923718908879,0.6552925182209696,0.6818845685392326
5,hflip,task_r32,0.8040865850431602,0.03605128271425125,0.7784656607842708,0.8453113246653208
5,hflip,task_r64,0.9220375975949276,0.03257879098203537,0.8908377323235922,0.9558392863859513
5,hflip,task_r8,0.5334452043075409,0.026048313869191937,0.5158476343112282,0.5633688278399108
5,zoom_in15,task_r16,0.6762134670897947,0.11581877310351724,0.5425008383767626,0.7452349362195607
5,zoom_in15,task_r32,0.7211697266901387,0.11966552680307778,0.5868379595220423,0.8163725600401722
5,zoom_in15,task_r64,0.9332638081174123,0.060430691639403504,0.8634900676555108,0.9689170649890937
5,zoom_in15,task_r8,0.5360756411217786,0.07107392062530406,0.45510845300268626,0.5881669063137117
10,hflip,task_r16,0.765774740472105,0.031976632409424124,0.7427390249996708,0.802283033973875
10,hflip,task_r32,0.8183683849376416,0.017775975730314558,0.7980210549840074,0.8308819080262225
10,hflip,task_r64,0.9127418149031502,0.0352655514683529,0.8785865633966606,0.949021607624302
10,hflip,task_r8,0.6013602969162222,0.017588802354547215,0.5863166957116573,0.6206987601338896
10,zoom_in15,task_r16,0.7556284811110746,0.07674422306867659,0.7037538547193971,0.8437867162460626
10,zoom_in15,task_r32,0.7442128546520534,0.021773940634917964,0.7218446981770302,0.7653394513182424
10,zoom_in15,task_r64,0.8387689621355952,0.07037852822168493,0.7763538009115484,0.9150475752594514
10,zoom_in15,task_r8,0.5710510004249546,0.09744090500759549,0.4614102692060162,0.6477554358577364
20,hflip,task_r16,0.7886181889023383,0.024864347423548348,0.7680019406627553,0.8162313268675976
20,hflip,task_r32,0.8763951275861209,0.019834925990237968,0.8546144745289614,0.8934195109567061
20,hflip,task_r64,0.9078599349120938,0.03239592784502534,0.888011059967558,0.945243665228811
20,hflip,task_r8,0.6463056146257935,0.024151079062593995,0.6291923841068988,0.6739312525605917
20,zoom_in15,task_r16,0.7073246932820033,0.05680358045665774,0.6443424386096872,0.7546768877319979
20,zoom_in15,task_r32,0.835103250515868,0.03366843509167864,0.800668372269206,0.8679489618285918
20,zoom_in15,task_r64,0.9322908487757499,0.0800840475730312,0.842094142990104,0.9950490537274875
20,zoom_in15,task_r8,0.5406168716771458,0.09330238299548992,0.43525187804914584,0.6127672461609311
50,hflip,task_r16,0.7930044012584121,0.022203007840993702,0.7690914089123719,0.812967154670673
50,hflip,task_r32,0.8726335435241794,0.04517879046052489,0.823000055997209,0.911361103022501
50,hflip,task_r64,0.9636552855347229,0.03364200373754283,0.9260729837549782,0.99095891903421
50,hflip,task_r8,0.6519990078251169,0.027006857459899503,0.6330079538260601,0.6829159085168951
50,zoom_in15,task_r16,0.7774145478773682,0.06545718009666926,0.713936516003829,0.8446859015968429
50,zoom_in15,task_r32,0.7969825782977836,0.08234616548606237,0.7071811069428307,0.8689510581945729
50,zoom_in15,task_r64,0.9378709519328681,0.05037147187459032,0.8817383211704358,0.9791331379401162
50,zoom_in15,task_r8,0.571667255677235,0.03804250646461328,0.5494305226087772,0.6155938235480468
