dataset,seed,context,rank,hidden,augmentation,mode,map50_95,ap_gap_recovery,loss_gap_recovery,parameters
coco128,2,multiscale_global,64,128,hflip,true,0.00024974052932018683,1.0,1.0,409984
coco128,2,multiscale_global,64,128,hflip,transport,6.855518484430127e-05,0.0,0.0,409984
coco128,2,multiscale_global,64,128,hflip,mean_only,6.574300834397579e-05,-0.015520993204280693,-0.8744628488999149,409984
coco128,2,multiscale_global,64,128,hflip,oracle,3.5465587405052584e-05,-0.18262844345919302,0.9513373066924149,409984
coco128,2,multiscale_global,64,128,hflip,predicted,0.0009766666666666667,5.012058146586068,0.48719324870862607,409984
coco128,2,multiscale_global,64,128,zoom_in15,true,8.458452512588072e-05,1.0,1.0,409984
coco128,2,multiscale_global,64,128,zoom_in15,transport,0.0006126596980255516,-0.0,-0.0,409984
coco128,2,multiscale_global,64,128,zoom_in15,mean_only,0.0013710673331373126,-1.436173624575702,0.036296074467960425,409984
coco128,2,multiscale_global,64,128,zoom_in15,oracle,2.0476605276256848e-05,1.1213992309042027,1.431879106614474,409984
coco128,2,multiscale_global,64,128,zoom_in15,predicted,0.0001292136166975705,0.9154872376850618,0.04873141358017794,409984
